"","metodologia","mse","accuracy","n","seed"
"252","Ada Lasso",10.476181462391,0.7,836,26
"253","Local prior",10.699517236124,0.7,1082,26
"254","Non local",11.5293545598546,0.7,1533,26
"255","Lasso mod 10000",9.78025985349595,0.58,383,26
"256","Lasso mod 200",13.1895318986649,0.56,4600,26
"257","Lasso mod 100",13.1895318986649,0.56,4600,26
"258","Lasso mod 50",13.1895318986649,0.56,4600,26
"259","Naive",10.1149034819457,0.4,200,26
"260","Oracle",9.14521617082836,1,438,26
"261","Lasso",22.7129666063711,0.62,375,27
"262","Ada Lasso",23.1409153736706,0.64,634,27
"263","Local prior",23.254226004146,0.72,1082,27
"264","Non local",23.1727667565162,0.7,968,27
"265","Lasso mod 10000",22.8965313634636,0.66,593,27
"266","Lasso mod 200",22.8965313634636,0.66,593,27
"267","Lasso mod 100",22.8505860803288,0.68,634,27
"268","Lasso mod 50",22.6451138563636,0.72,800,27
"269","Naive",24.1774248134532,0.4,200,27
"270","Oracle",22.1613870640705,1,557,27
"271","Lasso",27.6650543197948,0.58,274,28
"272","Ada Lasso",27.5320561256658,0.6,287,28
"273","Local prior",28.7381713496529,0.66,1150,28
"274","Non local",29.5645306787905,0.7,1533,28
"275","Lasso mod 10000",27.1402806743176,0.66,471,28
"276","Lasso mod 200",27.4056929138951,0.62,484,28
"277","Lasso mod 100",27.1402806743176,0.66,471,28
"278","Lasso mod 50",28.6644547143729,0.64,920,28
"279","Naive",29.5555545149551,0.4,200,28
"280","Oracle",25.6640312624945,1,484,28
"281","Lasso",14.3359012312395,0.72,471,29
"282","Ada Lasso",13.9531299389349,0.76,766,29
"283","Local prior",14.5878463887083,0.74,1150,29
"284","Non local",17.3295338040304,0.66,2628,29
"285","Lasso mod 10000",14.0368475938629,0.74,484,29
"286","Lasso mod 200",14.2288812535546,0.78,736,29
"287","Lasso mod 100",16.5311353735853,0.74,1082,29
"288","Lasso mod 50",16.5311353735853,0.74,1082,29
"289","Naive",14.0347111434707,0.4,200,29
"290","Oracle",12.8901198525931,1,557,29
"291","Lasso",26.7650293751284,0.66,800,30
"292","Ada Lasso",28.8497844682291,0.6,1415,30
"293","Local prior",29.2996256037933,0.6,1840,30
