"","metodologia","mse","accuracy","n","seed"
"474","Ada Lasso",58.2800499126739,0.88,3066,60
"475","Local prior",58.2139734571169,0.9,4600,60
"476","Non local",58.2414485551668,0.92,6133,60
"477","Ada mod",59.0705545325923,0.84,4600,60
"478","Lasso mod",59.0705545325923,0.84,4600,60
"479","Naive",63.5528607668926,0.1,200,60
"480","Oracle",56.2743009753291,1,1672,60
"481","Lasso",129.779518543088,0.92,18400,61
"482","Ada Lasso",129.779518543088,0.92,18400,61
"483","Local prior",129.779518543088,0.92,18400,61
"484","Non local",141.308932500006,0.9,Inf,61
"485","Ada mod",129.779518543088,0.92,18400,61
"486","Lasso mod",129.779518543088,0.92,18400,61
"487","Naive",148.321812182836,0.1,200,61
"488","Oracle",126.725755239991,1,2628,61
"489","Lasso",56.8093867152816,0.92,9200,62
"490","Ada Lasso",56.8093867152816,0.92,9200,62
"491","Local prior",56.7665022668204,0.9,6133,62
"492","Non local",56.8093867152816,0.92,9200,62
"493","Ada mod",55.9947703756134,0.84,1415,62
"494","Lasso mod",56.0438199330021,0.88,2300,62
"495","Naive",63.0688457321498,0.1,200,62
"496","Oracle",55.9334415064637,1,2300,62
"497","Lasso",29.687093070259,0.9,6133,63
"498","Ada Lasso",30.2569504598202,0.88,9200,63
"499","Local prior",30.2569504598202,0.88,9200,63
"500","Non local",30.2569504598202,0.88,9200,63
"501","Ada mod",29.6968913382954,0.92,18400,63
"502","Lasso mod",29.6060075939301,0.94,9200,63
"503","Naive",33.6859787753274,0.1,200,63
"504","Oracle",29.5787330456827,1,1840,63
"505","Lasso",52.0202320069806,0.86,2628,64
"506","Ada Lasso",56.0325693061961,0.9,Inf,64
"507","Local prior",54.7658643339111,0.88,6133,64
"508","Non local",56.0325693061961,0.9,Inf,64
"509","Ada mod",55.163742785451,0.88,9200,64
"510","Lasso mod",56.0325693061961,0.9,Inf,64
"511","Naive",54.6645759557056,0.1,200,64
"512","Oracle",51.0693910254657,1,2044,64
"513","Lasso",5.38660589135753,0.7,497,65
"514","Ada Lasso",5.69762465299392,0.9,Inf,65
"515","Local prior",5.34094658368826,0.86,2044,65
"516","Non local",5.69762465299392,0.9,Inf,65
"517","Ada mod",5.32480975938983,0.88,1150,65
"518","Lasso mod",5.69762465299392,0.9,Inf,65
"519","Naive",5.84456072982191,0.1,200,65
"520","Oracle",5.32058104732931,1,1672,65
"521","Lasso",28.3590965457137,0.88,2300,66
"522","Ada Lasso",30.1760650479309,0.88,9200,66
"523","Local prior",30.1760650479309,0.88,9200,66
"524","Non local",30.1760650479309,0.88,9200,66
"525","Ada mod",28.077779439077,0.8,1022,66
"526","Lasso mod",30.6616947962146,0.88,18400,66
"527","Naive",31.1695725737981,0.1,200,66
"528","Oracle",27.694614133699,1,2628,66
"529","Lasso",53.2977531245886,0.82,766,67
"530","Ada Lasso",52.597228265748,0.96,2300,67
"531","Local prior",53.7369200631239,0.94,3680,67
"532","Non local",59.9454991675117,0.9,Inf,67
"533","Ada mod",52.9717011716833,0.86,876,67
"534","Lasso mod",59.9454991675117,0.9,Inf,67
"535","Naive",60.7317226574368,0.1,200,67
"536","Oracle",52.5985717072716,1,1840,67
"537","Lasso",38.0607117019389,0.76,920,68
"538","Ada Lasso",37.424921093216,0.88,2300,68
"539","Local prior",37.890245216616,0.86,3066,68
"540","Non local",38.5262643844808,0.9,4600,68
"541","Ada mod",37.7362621112894,0.8,1082,68
"542","Lasso mod",38.0208349050112,0.78,2044,68
"543","Naive",44.0195076661139,0.1,200,68
"544","Oracle",36.5858979038685,1,1672,68
"545","Lasso",75.247256682564,0.78,1415,69
"546","Ada Lasso",75.112886391974,0.82,2044,69
"547","Local prior",76.2690972445857,0.86,4600,69
"548","Non local",76.0303544729186,0.88,9200,69
"549","Ada mod",75.247256682564,0.78,1415,69
"550","Lasso mod",75.651552646344,0.8,2044,69
"551","Naive",86.7404823041,0.1,200,69
"552","Oracle",73.9523434657435,1,2300,69
"553","Lasso",113.479705708698,0.72,575,70
"554","Ada Lasso",111.88698371646,0.9,2300,70
"555","Local prior",111.76751981555,0.92,3066,70
"556","Non local",111.76751981555,0.92,3066,70
