"","metodologia","mse","accuracy","n","seed"
"532","Non local",474.028707857903,0.18,9200,67
"533","Ada mod",468.396669649912,0.24,4600,67
"534","Lasso mod",468.921762525942,0.26,3680,67
"535","Naive",517.068845052919,0.8,200,67
"536","Oracle",485.907855177202,1,255,67
"537","Lasso",425.454446549823,0.24,4600,68
"538","Ada Lasso",425.454446549823,0.24,4600,68
"539","Local prior",426.710935774039,0.2,Inf,68
"540","Non local",423.663650614359,0.22,9200,68
"541","Ada mod",425.454446549823,0.24,4600,68
"542","Lasso mod",426.710935774039,0.2,Inf,68
"543","Naive",434.902927112016,0.8,200,68
"544","Oracle",433.062627939026,1,245,68
"545","Lasso",413.720363795832,0.34,876,69
"546","Ada Lasso",423.091611863858,0.26,2044,69
"547","Local prior",431.508262828921,0.18,3680,69
"548","Non local",439.047160221762,0.16,4600,69
"549","Ada mod",414.039295678984,0.32,876,69
"550","Lasso mod",411.525751181535,0.4,968,69
"551","Naive",483.595592327202,0.8,200,69
"552","Oracle",452.215592410972,1,252,69
"553","Lasso",244.607217705328,0.34,1022,70
"554","Ada Lasso",251.240066638753,0.22,9200,70
"555","Local prior",247.470414092044,0.26,4600,70
"556","Non local",251.240066638753,0.22,9200,70
"557","Ada mod",244.910509916725,0.28,1022,70
"558","Lasso mod",248.226009484817,0.48,920,70
"559","Naive",266.630368603593,0.8,200,70
"560","Oracle",257.157384247252,1,255,70
"561","Lasso",467.286991134117,0.3,1082,71
"562","Ada Lasso",470.666121478384,0.16,3680,71
"563","Local prior",475.77616230077,0.22,4600,71
"564","Non local",473.74939772339,0.18,9200,71
"565","Ada mod",470.666121478384,0.16,3680,71
"566","Lasso mod",459.342574361,0.32,1672,71
"567","Naive",504.64392195277,0.8,200,71
"568","Oracle",475.570006265462,1,255,71
"569","Lasso",229.391569631813,0.32,836,72
"570","Ada Lasso",236.674230254198,0.22,2628,72
"571","Local prior",236.674230254198,0.22,2628,72
"572","Non local",235.908497916766,0.22,6133,72
"573","Ada mod",235.58282573162,0.24,2300,72
"574","Lasso mod",234.354857243994,0.3,3680,72
"575","Naive",243.583449786281,0.8,200,72
"576","Oracle",241.915173737036,1,259,72
"577","Lasso",347.130766599399,0.32,1415,73
"578","Ada Lasso",354.371994698036,0.24,3680,73
